Model,0D
XGBoost,189.11191800523258
Bootstrap,188.6630413809507
Random Forest,367.87630871223143
Linear Regression,660.4782730356086
DNN,197.38375075783512
Stacking XGB DNN,182.80663636627676
Stacking XGB RF,182.7680240603529
