Model,3D,5D,7D,10D,14D,30D,90D,180D,365D
XGBoost,181.30747627965846,178.58049083612406,177.55937996753582,176.23843196975972,174.38669442719603,173.67330379338,173.54455271671173,173.52483686348367,173.5488701501343
Bootstrap,178.67291622391312,178.1784674399807,176.61656238825063,175.45613195521668,173.96291815682326,173.54774524176776,173.44482127921023,173.37428681857145,173.4153478124648
Random Forest,307.387710647893,308.9903262984693,278.35121310883153,267.35656913514185,231.9235157822206,199.8661130431392,184.20562171450064,187.7560248466126,184.11963859179596
Linear Regression,648.2160081450036,625.868250056959,601.5546046921826,564.0957615118151,546.7809567632056,435.0449843168007,323.6514938348939,324.4748440189169,356.8834567952
DNN,182.63203689400385,195.24509993479626,196.37833315945582,188.67856108516494,194.67340526275794,186.723909280689,182.02813631661488,185.52468498502654,190.01472843703726
Stacking XGB DNN,179.04720517299722,177.6637097352939,177.0546278282516,176.09178037277835,174.33243664594602,173.67319152848876,174.14752988124093,173.74122469437563,173.8743026512787
Stacking XGB RF,178.7232293864306,177.31314249565006,179.67210377578922,176.44984866430468,176.85087374418015,174.34497887382017,176.7844300273453,176.7210745635637,176.516513020033
