Model,3D,5D,7D,10D,14D,30D,90D,180D,365D
XGBoost,0.9191269080178621,0.9203103324967565,0.9208143270381145,0.9213445211522455,0.9220483292595875,0.9222969434429213,0.9223520511137797,0.9223465834768414,0.9223526996577063
Bootstrap,0.9199621868053732,0.9203293239102903,0.9210274094163331,0.9215633340254727,0.9220687135744845,0.9222498306780722,0.9223052429084583,0.922325234216905,0.9223241611206097
Random Forest,0.7828569970039387,0.7946764105003579,0.8306425400932864,0.8389830403070505,0.8723487177470189,0.9068705888202262,0.9148156899511487,0.9159068034020075,0.9170419907218169
Linear Regression,0.3494153496807516,0.39352182277472925,0.43732351021028737,0.48867849379568973,0.5271216041398784,0.6711690344266502,0.794993132121786,0.8252794294689785,0.7762253049289094
DNN,0.9179209583210495,0.911797737380477,0.9095410205115193,0.9147639473736058,0.908655311343784,0.9133984596118538,0.9187934281717702,0.9101537443932688,0.9077408059649293
Stacking XGB DNN,0.9201120320300568,0.9207492671853608,0.921088096992655,0.9214264028019149,0.9220716537337393,0.9222771841487197,0.9221444224980295,0.9221394676169681,0.9221785313395002
Stacking XGB RF,0.9204735583909878,0.9204590925556196,0.9186488015033019,0.9209972460378224,0.9199028373853029,0.9218295329392904,0.9198589000291346,0.9194369973858143,0.919744304338667
