Model,all
XGBoost,173.35264312910775
Bootstrap,173.23416151299472
Random Forest,178.34965687401123
Linear Regression,208.0512170746507
DNN,180.37774018718386
Stacking XGB DNN,173.6237491246555
Stacking XGB RF,174.29618138688184
