Model,all
XGBoost,0.9224017628547471
Bootstrap,0.9223612623460757
Random Forest,0.9209151043794863
Linear Regression,0.9047369602742489
DNN,0.9197653492496546
Stacking XGB DNN,0.9223630052910339
Stacking XGB RF,0.9220335041245018
