Model,3D,5D,7D,10D,14D,30D,90D,180D,365D
XGBoost,297.53057246334595,295.3456518501628,294.41021880415894,293.42293964320453,292.1072176162401,291.6410313677637,291.5375958709648,291.5478601064719,291.5363783543742
Bootstrap,295.9900971164862,295.3104567878207,294.01383466715293,293.0145165258745,292.06902218841736,291.7294315791986,291.62545585869015,291.58793499031356,291.5899491634428
Random Forest,487.5312896850478,474.07712247855653,430.5580760008355,419.8221854606789,373.8024683740967,319.2809467764705,305.35805392623394,303.39610763355586,301.34135376400184
Linear Regression,843.8815274572479,814.7740024924083,784.799935728042,748.1291964717511,719.4561189599759,599.9512022047747,473.71133785637954,437.32226992375524,494.9200647414529
DNN,299.7406968494161,310.72016374610314,314.67005499867065,305.45078000569384,316.20681371096276,307.88773060791823,298.1433744080402,313.6025354349739,317.7857378221335
Stacking XGB DNN,295.71289388369166,294.53113936995567,293.90084346261415,293.2701708163456,292.0635126069796,291.67811005484714,291.9271176638686,291.9364069221326,291.86316343657546
Stacking XGB RF,295.04302309836675,295.06985599596044,298.4087488747882,294.06997822188566,296.09981766348346,292.5168765703566,296.1810194131764,296.95961818583226,296.3927019569307
