Model,all
XGBoost,291.44425688359075
Bootstrap,291.5203030757046
Random Forest,294.22281542658374
Linear Regression,322.917656224307
DNN,296.3538388772422
Stacking XGB DNN,291.5170308258621
Stacking XGB RF,292.1349933075123
