Model,0D
XGBoost,303.9670438179384
Bootstrap,304.1896260705098
Random Forest,546.5564657283804
Linear Regression,880.3513570339277
DNN,315.86238015374806
Stacking XGB DNN,298.2444222492617
Stacking XGB RF,297.71275650636613
